timestep,policy,agent_id,food,coin,productivity,wealth,price,scarcity_ratio,alive_count,action,alive
8,rule,0,6.643,8.357,0.854,28.472,3.0279,1.4128,10,gather,True
8,rule,1,9.416,9.166,1.139,37.677,3.0279,1.4128,10,gather,True
8,rule,2,6.234,13.588,1.106,32.464,3.0279,1.4128,10,work,True
8,rule,3,5.698,10.073,0.902,27.325,3.0279,1.4128,10,gather,True
8,rule,4,4.87,12.757,0.998,27.502,3.0279,1.4128,10,gather,True
8,rule,5,5.507,12.785,0.98,29.461,3.0279,1.4128,10,gather,True
8,rule,6,6.036,13.715,1.061,31.991,3.0279,1.4128,10,gather,True
8,rule,7,4.837,15.888,1.115,30.535,3.0279,1.4128,10,gather,True
8,rule,8,5.786,9.726,0.838,27.245,3.0279,1.4128,10,gather,True
8,rule,9,7.244,6.502,0.811,28.435,3.0279,1.4128,10,gather,True
9,rule,0,7.008,8.357,0.854,26.562,2.5978,1.2435,10,gather,True
9,rule,1,8.416,11.471,1.139,33.335,2.5978,1.2435,10,work,True
9,rule,2,5.234,15.381,1.106,28.978,2.5978,1.2435,10,work,True
9,rule,3,4.698,11.944,0.902,24.147,2.5978,1.2435,10,work,True
9,rule,4,3.87,14.601,0.998,24.654,2.5978,1.2435,10,work,True
9,rule,5,6.233,12.785,0.98,28.978,2.5978,1.2435,10,gather,True
9,rule,6,5.036,15.4,1.061,28.483,2.5978,1.2435,10,work,True
9,rule,7,5.665,15.888,1.115,30.605,2.5978,1.2435,10,gather,True
9,rule,8,6.46,9.726,0.838,26.507,2.5978,1.2435,10,gather,True
9,rule,9,7.375,6.502,0.811,25.661,2.5978,1.2435,10,gather,True
10,rule,0,7.476,8.357,0.854,28.845,2.7405,1.3002,10,gather,True
10,rule,1,7.416,13.494,1.139,33.819,2.7405,1.3002,10,work,True
10,rule,2,6.473,15.381,1.106,33.119,2.7405,1.3002,10,gather,True
10,rule,3,5.332,11.944,0.902,26.557,2.7405,1.3002,10,gather,True
10,rule,4,2.87,16.265,0.998,24.129,2.7405,1.3002,10,work,True
10,rule,5,6.708,12.785,0.98,31.17,2.7405,1.3002,10,gather,True
10,rule,6,4.036,17.185,1.061,28.245,2.7405,1.3002,10,work,True
10,rule,7,6.614,15.888,1.115,34.012,2.7405,1.3002,10,gather,True
10,rule,8,6.797,9.726,0.838,28.354,2.7405,1.3002,10,gather,True
10,rule,9,6.375,7.91,0.811,25.38,2.7405,1.3002,10,work,True
11,rule,0,6.476,10.187,0.854,27.892,2.7337,1.2975,10,work,True
11,rule,1,8.43,13.494,1.139,36.538,2.7337,1.2975,10,gather,True
11,rule,2,5.473,17.205,1.106,32.166,2.7337,1.2975,10,work,True
11,rule,3,4.332,13.662,0.902,25.505,2.7337,1.2975,10,work,True
11,rule,4,3.919,16.265,0.998,26.979,2.7337,1.2975,10,gather,True
11,rule,5,7.17,12.785,0.98,32.387,2.7337,1.2975,10,gather,True
11,rule,6,3.036,18.653,1.061,26.952,2.7337,1.2975,10,work,True
11,rule,7,7.346,15.888,1.115,35.97,2.7337,1.2975,10,gather,True
11,rule,8,5.797,11.102,0.838,26.95,2.7337,1.2975,10,work,True
11,rule,9,5.375,9.479,0.811,24.173,2.7337,1.2975,10,work,True
12,rule,0,5.476,11.565,0.854,27.582,2.9248,1.3726,10,work,True
12,rule,1,7.43,15.46,1.139,37.19,2.9248,1.3726,10,work,True
12,rule,2,4.473,18.77,1.106,31.852,2.9248,1.3726,10,work,True
12,rule,3,3.332,14.981,0.902,24.727,2.9248,1.3726,10,work,True
12,rule,4,2.919,17.679,0.998,26.217,2.9248,1.3726,10,work,True
12,rule,5,6.17,14.654,0.98,32.702,2.9248,1.3726,10,work,True
12,rule,6,4.338,18.653,1.061,31.341,2.9248,1.3726,10,gather,True
12,rule,7,6.346,17.837,1.115,36.397,2.9248,1.3726,10,work,True
12,rule,8,6.209,11.102,0.838,29.263,2.9248,1.3726,10,gather,True
12,rule,9,4.375,11.04,0.811,23.836,2.9248,1.3726,10,work,True
13,rule,0,6.241,11.565,0.854,33.221,3.4699,1.5827,10,gather,True
13,rule,1,6.43,17.26,1.139,39.57,3.4699,1.5827,10,work,True
13,rule,2,5.461,18.77,1.106,37.72,3.4699,1.5827,10,gather,True
13,rule,3,4.15,14.981,0.902,29.382,3.4699,1.5827,10,gather,True
13,rule,4,3.733,17.679,0.998,30.632,3.4699,1.5827,10,gather,True
13,rule,5,7.069,14.654,0.98,39.183,3.4699,1.5827,10,gather,True
13,rule,6,5.156,18.653,1.061,36.544,3.4699,1.5827,10,gather,True
13,rule,7,7.061,17.837,1.115,42.338,3.4699,1.5827,10,gather,True
13,rule,8,6.571,11.102,0.838,33.902,3.4699,1.5827,10,gather,True
13,rule,9,4.978,11.04,0.811,28.313,3.4699,1.5827,10,gather,True
14,rule,0,6.702,11.565,0.854,31.421,2.9626,1.3874,10,gather,True
14,rule,1,7.476,17.26,1.139,39.409,2.9626,1.3874,10,gather,True
14,rule,2,4.461,20.301,1.106,33.518,2.9626,1.3874,10,work,True
14,rule,3,5.066,14.981,0.902,29.989,2.9626,1.3874,10,gather,True
14,rule,4,4.654,17.679,0.998,31.468,2.9626,1.3874,10,gather,True
14,rule,5,7.912,14.654,0.98,38.096,2.9626,1.3874,10,gather,True
14,rule,6,6.255,18.653,1.061,37.184,2.9626,1.3874,10,gather,True
14,rule,7,6.061,19.58,1.115,37.536,2.9626,1.3874,10,work,True
14,rule,8,7.151,11.102,0.838,32.289,2.9626,1.3874,10,gather,True
14,rule,9,5.504,11.04,0.811,27.347,2.9626,1.3874,10,gather,True
15,rule,0,5.702,13.057,0.854,28.228,2.6605,1.2685,10,work,True
15,rule,1,6.476,18.965,1.139,36.195,2.6605,1.2685,10,work,True
15,rule,2,5.331,20.301,1.106,34.484,2.6605,1.2685,10,gather,True
15,rule,3,5.935,14.981,0.902,30.771,2.6605,1.2685,10,gather,True
15,rule,4,3.654,19.427,0.998,29.149,2.6605,1.2685,10,work,True
15,rule,5,8.676,14.654,0.98,37.737,2.6605,1.2685,10,gather,True
15,rule,6,6.914,18.653,1.061,37.047,2.6605,1.2685,10,gather,True
15,rule,7,6.882,19.58,1.115,37.889,2.6605,1.2685,10,gather,True
15,rule,8,6.151,12.662,0.838,29.027,2.6605,1.2685,10,work,True
15,rule,9,4.504,12.732,0.811,24.715,2.6605,1.2685,10,work,True
16,rule,0,4.702,14.677,0.854,27.492,2.7253,1.2942,10,work,True
16,rule,1,5.476,20.511,1.139,35.435,2.7253,1.2942,10,work,True
16,rule,2,4.331,22.011,1.106,33.814,2.7253,1.2942,10,work,True
16,rule,3,6.331,14.981,0.902,32.234,2.7253,1.2942,10,gather,True
16,rule,4,4.657,19.427,0.998,32.119,2.7253,1.2942,10,gather,True
16,rule,5,7.676,16.211,0.98,37.13,2.7253,1.2942,10,work,True
16,rule,6,7.57,18.653,1.061,39.284,2.7253,1.2942,10,gather,True
16,rule,7,7.973,19.58,1.115,41.308,2.7253,1.2942,10,gather,True
16,rule,8,5.151,13.898,0.838,27.937,2.7253,1.2942,10,work,True
16,rule,9,4.877,12.732,0.811,26.024,2.7253,1.2942,10,gather,True
17,rule,0,3.702,15.902,0.854,26.361,2.825,1.3335,10,work,True
17,rule,1,6.558,20.511,1.139,39.038,2.825,1.3335,10,gather,True
17,rule,2,3.331,23.388,1.106,32.797,2.825,1.3335,10,work,True
17,rule,3,6.691,14.981,0.902,33.884,2.825,1.3335,10,gather,True
17,rule,4,5.601,19.427,0.998,35.25,2.825,1.3335,10,gather,True
17,rule,5,8.164,16.211,0.98,39.274,2.825,1.3335,10,gather,True
17,rule,6,8.42,18.653,1.061,42.439,2.825,1.3335,10,gather,True
17,rule,7,8.739,19.58,1.115,44.269,2.825,1.3335,10,gather,True
17,rule,8,5.869,13.898,0.838,30.479,2.825,1.3335,10,gather,True
17,rule,9,3.877,13.975,0.811,24.928,2.825,1.3335,10,work,True
18,rule,0,2.702,17.117,0.854,24.356,2.6787,1.2757,10,work,True
18,rule,1,7.37,20.511,1.139,40.253,2.6787,1.2757,10,gather,True
18,rule,2,4.561,23.388,1.106,35.605,2.6787,1.2757,10,gather,True
18,rule,3,7.327,14.981,0.902,34.608,2.6787,1.2757,10,gather,True
18,rule,4,6.53,19.427,0.998,36.918,2.6787,1.2757,10,gather,True
18,rule,5,8.839,16.211,0.98,39.888,2.6787,1.2757,10,gather,True
18,rule,6,7.42,20.312,1.061,40.187,2.6787,1.2757,10,work,True
18,rule,7,7.739,21.303,1.115,42.034,2.6787,1.2757,10,work,True
18,rule,8,6.379,13.898,0.838,30.984,2.6787,1.2757,10,gather,True
18,rule,9,2.877,15.548,0.811,23.255,2.6787,1.2757,10,work,True
19,rule,0,3.608,17.117,0.854,26.605,2.6296,1.2562,10,gather,True
19,rule,1,8.319,20.511,1.139,42.386,2.6296,1.2562,10,gather,True
19,rule,2,5.619,23.388,1.106,38.164,2.6296,1.2562,10,gather,True
19,rule,3,6.327,16.439,0.902,33.077,2.6296,1.2562,10,work,True
19,rule,4,5.53,20.81,0.998,35.352,2.6296,1.2562,10,work,True
19,rule,5,9.294,16.211,0.98,40.65,2.6296,1.2562,10,gather,True
19,rule,6,8.171,20.312,1.061,41.798,2.6296,1.2562,10,gather,True
19,rule,7,8.317,21.303,1.115,43.175,2.6296,1.2562,10,gather,True
19,rule,8,5.379,15.469,0.838,29.613,2.6296,1.2562,10,work,True
19,rule,9,3.346,15.548,0.811,24.347,2.6296,1.2562,10,gather,True
20,rule,0,2.608,18.667,0.854,25.195,2.5034,1.2057,10,work,True
20,rule,1,8.996,20.511,1.139,43.032,2.5034,1.2057,10,gather,True
20,rule,2,4.619,24.895,1.106,36.459,2.5034,1.2057,10,work,True
20,rule,3,6.734,16.439,0.902,33.296,2.5034,1.2057,10,gather,True
20,rule,4,6.126,20.81,0.998,36.147,2.5034,1.2057,10,gather,True
20,rule,5,8.294,17.778,0.98,38.54,2.5034,1.2057,10,work,True
20,rule,6,8.697,20.312,1.061,42.084,2.5034,1.2057,10,gather,True
20,rule,7,8.976,21.303,1.115,43.772,2.5034,1.2057,10,gather,True
20,rule,8,6.093,15.469,0.838,30.722,2.5034,1.2057,10,gather,True
20,rule,9,2.346,17.057,0.811,22.93,2.5034,1.2057,10,work,True
21,rule,0,3.399,18.667,0.854,27.257,2.527,1.2152,10,gather,True
21,rule,1,9.867,20.511,1.139,45.444,2.527,1.2152,10,gather,True
21,rule,2,5.913,24.895,1.106,39.839,2.527,1.2152,10,gather,True
21,rule,3,5.734,17.782,0.902,32.271,2.527,1.2152,10,work,True
21,rule,4,5.126,22.302,0.998,35.256,2.527,1.2152,10,work,True
21,rule,5,7.294,19.104,0.98,37.535,2.527,1.2152,10,work,True
21,rule,6,9.134,20.312,1.061,43.394,2.527,1.2152,10,gather,True
21,rule,7,7.976,22.89,1.115,43.045,2.527,1.2152,10,work,True
21,rule,8,5.093,17.005,0.838,29.875,2.527,1.2152,10,work,True
21,rule,9,2.842,17.057,0.811,24.238,2.527,1.2152,10,gather,True
22,rule,0,4.312,18.667,0.854,29.842,2.5915,1.241,10,gather,True
22,rule,1,8.867,22.341,1.139,45.319,2.5915,1.241,10,work,True
22,rule,2,4.913,26.343,1.106,39.077,2.5915,1.241,10,work,True
22,rule,3,4.734,19.041,0.902,31.309,2.5915,1.241,10,work,True
22,rule,4,4.126,23.588,0.998,34.281,2.5915,1.241,10,work,True
22,rule,5,7.78,19.104,0.98,39.265,2.5915,1.241,10,gather,True
22,rule,6,8.134,21.883,1.061,42.962,2.5915,1.241,10,work,True
22,rule,7,8.857,22.89,1.115,45.842,2.5915,1.241,10,gather,True
22,rule,8,5.409,17.005,0.838,31.022,2.5915,1.241,10,gather,True
22,rule,9,3.596,17.057,0.811,26.376,2.5915,1.241,10,gather,True
23,rule,0,3.312,20.155,0.854,29.075,2.6929,1.2813,10,work,True
23,rule,1,7.867,23.958,1.139,45.143,2.6929,1.2813,10,work,True
23,rule,2,6.201,26.343,1.106,43.043,2.6929,1.2813,10,gather,True
23,rule,3,5.517,19.041,0.902,33.899,2.6929,1.2813,10,gather,True
23,rule,4,4.828,23.588,0.998,36.59,2.6929,1.2813,10,gather,True
23,rule,5,6.78,20.716,0.98,38.974,2.6929,1.2813,10,work,True
23,rule,6,8.69,21.883,1.061,45.286,2.6929,1.2813,10,gather,True
23,rule,7,7.857,24.538,1.115,45.695,2.6929,1.2813,10,work,True
23,rule,8,6.144,17.005,0.838,33.551,2.6929,1.2813,10,gather,True
23,rule,9,4.412,17.057,0.811,28.94,2.6929,1.2813,10,gather,True
24,rule,0,2.312,21.565,0.854,27.665,2.6379,1.2595,10,work,True
