timestep,policy,agent_id,food,coin,productivity,wealth,price,scarcity_ratio,alive_count,action,alive
8,random,2,4.951,17.525,1.106,44.544,5.4575,2.3084,10,gather,True
8,random,3,2.86,9.919,0.902,25.527,5.4575,2.3084,10,gather,True
8,random,4,6.397,16.325,0.998,51.239,5.4575,2.3084,10,gather,True
8,random,5,5.152,12.423,0.98,40.539,5.4575,2.3084,10,gather,True
8,random,6,3.57,15.402,1.061,34.884,5.4575,2.3084,10,work,True
8,random,7,5.301,19.081,1.115,48.011,5.4575,2.3084,10,gather,True
8,random,8,3.715,11.423,0.838,31.697,5.4575,2.3084,10,gather,True
8,random,9,1.535,8.571,0.811,16.95,5.4575,2.3084,10,work,True
9,random,0,1.785,14.787,0.854,23.849,5.0778,2.1737,10,work,True
9,random,1,4.06,18.313,1.139,38.929,5.0778,2.1737,10,gather,True
9,random,2,6.217,17.525,1.106,49.093,5.0778,2.1737,10,gather,True
9,random,3,3.61,9.919,0.902,28.25,5.0778,2.1737,10,gather,True
9,random,4,5.397,18.09,0.998,45.497,5.0778,2.1737,10,work,True
9,random,5,6.043,12.423,0.98,43.108,5.0778,2.1737,10,gather,True
9,random,6,2.57,17.13,1.061,30.178,5.0778,2.1737,10,work,True
9,random,7,4.301,20.954,1.115,42.793,5.0778,2.1737,10,work,True
9,random,8,4.215,11.423,0.838,32.828,5.0778,2.1737,10,gather,True
9,random,9,1.535,5.139,0.811,12.935,5.0778,2.1737,10,work,True
10,random,0,2.38,14.787,0.854,26.953,5.1125,2.1861,10,gather,True
10,random,1,5.12,18.313,1.139,44.487,5.1125,2.1861,10,gather,True
10,random,2,7.352,17.525,1.106,55.114,5.1125,2.1861,10,gather,True
10,random,3,4.537,9.919,0.902,33.117,5.1125,2.1861,10,gather,True
10,random,4,3.397,24.827,0.998,42.196,5.1125,2.1861,10,work,True
10,random,5,5.043,14.127,0.98,39.909,5.1125,2.1861,10,work,True
10,random,6,1.57,18.831,1.061,26.856,5.1125,2.1861,10,work,True
10,random,7,3.301,22.656,1.115,39.532,5.1125,2.1861,10,work,True
10,random,8,3.215,12.828,0.838,29.266,5.1125,2.1861,10,work,True
10,random,9,1.535,1.608,0.811,9.457,5.1125,2.1861,10,work,True
11,random,0,3.376,14.787,0.854,33.781,5.6268,2.3679,10,gather,True
11,random,1,6.245,18.313,1.139,53.451,5.6268,2.3679,10,gather,True
11,random,2,6.352,19.428,1.106,55.171,5.6268,2.3679,10,work,True
11,random,3,5.219,9.919,0.902,39.287,5.6268,2.3679,10,gather,True
11,random,4,2.397,26.036,0.998,39.526,5.6268,2.3679,10,work,True
11,random,5,5.994,14.127,0.98,47.856,5.6268,2.3679,10,gather,True
11,random,6,3.042,18.831,1.061,35.949,5.6268,2.3679,10,gather,True
11,random,7,4.263,22.656,1.115,46.646,5.6268,2.3679,10,gather,True
11,random,8,2.215,14.357,0.838,26.822,5.6268,2.3679,10,work,True
11,random,9,0.535,3.106,0.811,6.118,5.6268,2.3679,10,work,True
12,random,0,4.174,14.787,0.854,35.809,5.0369,1.9432,9,gather,True
12,random,1,7.063,18.313,1.139,53.889,5.0369,1.9432,9,gather,True
12,random,2,7.426,19.428,1.106,56.834,5.0369,1.9432,9,gather,True
12,random,3,5.837,9.919,0.902,39.317,5.0369,1.9432,9,gather,True
12,random,4,1.397,27.436,0.998,34.475,5.0369,1.9432,9,work,True
12,random,5,6.866,14.127,0.98,48.712,5.0369,1.9432,9,gather,True
12,random,6,4.209,18.831,1.061,40.029,5.0369,1.9432,9,gather,True
12,random,7,3.263,24.303,1.115,40.74,5.0369,1.9432,9,work,True
12,random,8,2.997,14.357,0.838,29.452,5.0369,1.9432,9,gather,True
13,random,0,3.174,16.305,0.854,28.379,3.8044,1.7089,9,work,True
13,random,1,6.063,19.979,1.139,43.046,3.8044,1.7089,9,work,True
13,random,2,8.185,19.428,1.106,50.566,3.8044,1.7089,9,gather,True
13,random,3,6.388,9.919,0.902,34.222,3.8044,1.7089,9,gather,True
13,random,4,1.397,24.682,0.998,29.999,3.8044,1.7089,9,work,True
13,random,5,7.432,14.127,0.98,42.402,3.8044,1.7089,9,gather,True
13,random,6,4.296,22.636,1.061,38.978,3.8044,1.7089,9,gather,True
13,random,7,4.471,24.303,1.115,41.313,3.8044,1.7089,9,gather,True
13,random,8,1.997,15.644,0.838,23.242,3.8044,1.7089,9,work,True
14,random,0,2.174,17.49,0.854,25.71,3.7818,1.7004,9,work,True
14,random,1,5.063,21.563,1.139,40.71,3.7818,1.7004,9,work,True
14,random,2,7.185,21.268,1.106,48.44,3.7818,1.7004,9,work,True
14,random,3,5.92,13.701,0.902,36.09,3.7818,1.7004,9,gather,True
14,random,4,2.648,24.682,0.998,34.697,3.7818,1.7004,9,gather,True
14,random,5,6.432,15.841,0.98,40.166,3.7818,1.7004,9,work,True
14,random,6,5.551,22.636,1.061,43.628,3.7818,1.7004,9,gather,True
14,random,7,5.528,24.303,1.115,45.208,3.7818,1.7004,9,gather,True
14,random,8,1.997,13.139,0.838,20.691,3.7818,1.7004,9,work,True
15,random,0,2.689,17.49,0.854,27.991,3.9047,1.7463,9,gather,True
15,random,1,4.063,23.069,1.139,38.935,3.9047,1.7463,9,work,True
15,random,2,6.185,22.673,1.106,46.823,3.9047,1.7463,9,work,True
15,random,3,6.539,13.701,0.902,39.233,3.9047,1.7463,9,gather,True
15,random,4,1.648,25.823,0.998,32.259,3.9047,1.7463,9,work,True
15,random,5,6.92,15.841,0.98,42.861,3.9047,1.7463,9,gather,True
15,random,6,6.526,22.636,1.061,48.118,3.9047,1.7463,9,gather,True
15,random,7,6.435,24.303,1.115,49.429,3.9047,1.7463,9,gather,True
15,random,8,2.934,13.139,0.838,24.597,3.9047,1.7463,9,gather,True
16,random,0,1.689,19.026,0.854,25.298,3.7122,1.6743,9,work,True
16,random,1,3.063,24.73,1.139,36.101,3.7122,1.6743,9,work,True
16,random,2,6.027,26.385,1.106,48.758,3.7122,1.6743,9,gather,True
16,random,3,6.9,13.701,0.902,39.315,3.7122,1.6743,9,gather,True
16,random,4,1.648,23.367,0.998,29.486,3.7122,1.6743,9,work,True
16,random,5,7.757,15.841,0.98,44.636,3.7122,1.6743,9,gather,True
16,random,6,7.247,22.636,1.061,49.539,3.7122,1.6743,9,gather,True
16,random,7,7.54,24.303,1.115,52.294,3.7122,1.6743,9,gather,True
16,random,8,3.436,13.139,0.838,25.895,3.7122,1.6743,9,gather,True
17,random,0,1.689,16.878,0.854,22.867,3.5449,1.6112,9,work,True
17,random,1,4.462,24.73,1.139,40.549,3.5449,1.6112,9,gather,True
17,random,2,5.944,29.93,1.106,51.002,3.5449,1.6112,9,gather,True
17,random,3,4.9,18.745,0.902,36.115,3.5449,1.6112,9,work,True
17,random,4,1.648,21.071,0.998,26.914,3.5449,1.6112,9,work,True
17,random,5,8.303,15.841,0.98,45.276,3.5449,1.6112,9,gather,True
17,random,6,8.015,22.636,1.061,51.047,3.5449,1.6112,9,gather,True
17,random,7,8.136,24.303,1.115,53.143,3.5449,1.6112,9,gather,True
17,random,8,2.436,14.736,0.838,23.372,3.5449,1.6112,9,work,True
18,random,0,1.689,14.605,0.854,20.55,3.5186,1.6012,9,work,True
18,random,1,5.791,24.73,1.139,45.107,3.5186,1.6012,9,gather,True
18,random,2,4.944,31.118,1.106,48.516,3.5186,1.6012,9,work,True
18,random,3,5.525,18.745,0.902,38.185,3.5186,1.6012,9,gather,True
18,random,4,2.853,21.071,0.998,31.11,3.5186,1.6012,9,gather,True
18,random,5,7.303,17.309,0.98,43.008,3.5186,1.6012,9,work,True
18,random,6,8.481,22.636,1.061,52.476,3.5186,1.6012,9,gather,True
18,random,7,7.902,27.821,1.115,55.624,3.5186,1.6012,9,gather,True
18,random,8,3.173,14.736,0.838,25.902,3.5186,1.6012,9,gather,True
19,random,0,1.689,12.766,0.854,18.32,3.2876,1.5131,9,work,True
19,random,1,7.014,24.73,1.139,47.789,3.2876,1.5131,9,gather,True
19,random,2,5.204,34.406,1.106,51.514,3.2876,1.5131,9,gather,True
19,random,3,4.525,20.016,0.902,34.892,3.2876,1.5131,9,work,True
19,random,4,1.853,22.553,0.998,28.645,3.2876,1.5131,9,work,True
19,random,5,6.303,18.65,0.98,39.373,3.2876,1.5131,9,work,True
19,random,6,8.936,22.636,1.061,52.013,3.2876,1.5131,9,gather,True
19,random,7,6.902,29.141,1.115,51.831,3.2876,1.5131,9,work,True
19,random,8,2.173,16.297,0.838,23.442,3.2876,1.5131,9,work,True
20,random,0,2.747,12.766,0.854,22.738,3.6298,1.6433,9,gather,True
20,random,1,6.014,26.366,1.139,48.195,3.6298,1.6433,9,work,True
20,random,2,4.204,35.461,1.106,50.721,3.6298,1.6433,9,work,True
20,random,3,3.525,21.209,0.902,34.004,3.6298,1.6433,9,work,True
20,random,4,1.853,20.2,0.998,26.926,3.6298,1.6433,9,work,True
20,random,5,6.868,18.65,0.98,43.581,3.6298,1.6433,9,gather,True
20,random,6,6.936,27.745,1.061,52.92,3.6298,1.6433,9,work,True
20,random,7,7.894,29.141,1.115,57.797,3.6298,1.6433,9,gather,True
20,random,8,2.673,16.297,0.838,26.001,3.6298,1.6433,9,gather,True
21,random,0,1.747,14.462,0.854,21.232,3.8746,1.7351,9,work,True
21,random,1,5.014,27.649,1.139,47.076,3.8746,1.7351,9,work,True
21,random,2,5.469,35.461,1.106,56.65,3.8746,1.7351,9,gather,True
21,random,3,4.493,21.209,0.902,38.619,3.8746,1.7351,9,gather,True
21,random,4,3.067,20.2,0.998,32.082,3.8746,1.7351,9,gather,True
21,random,5,5.868,20.219,0.98,42.956,3.8746,1.7351,9,work,True
21,random,6,7.69,27.745,1.061,57.54,3.8746,1.7351,9,gather,True
21,random,7,6.894,30.534,1.115,57.248,3.8746,1.7351,9,work,True
21,random,8,3.656,16.297,0.838,30.464,3.8746,1.7351,9,gather,True
22,random,0,1.747,11.996,0.854,18.492,3.7174,1.6763,9,work,True
22,random,1,4.014,29.032,1.139,43.954,3.7174,1.6763,9,work,True
22,random,2,4.469,36.434,1.106,53.045,3.7174,1.6763,9,work,True
22,random,3,5.003,21.209,0.902,39.809,3.7174,1.6763,9,gather,True
22,random,4,2.067,21.575,0.998,29.258,3.7174,1.6763,9,work,True
22,random,5,3.868,25.265,0.98,39.645,3.7174,1.6763,9,work,True
22,random,6,8.509,27.745,1.061,59.375,3.7174,1.6763,9,gather,True
22,random,7,5.894,31.593,1.115,53.506,3.7174,1.6763,9,work,True
22,random,8,4.137,16.297,0.838,31.675,3.7174,1.6763,9,gather,True
23,random,0,2.437,11.996,0.854,22.561,4.3342,1.905,9,gather,True
23,random,1,5.263,29.032,1.139,51.843,4.3342,1.905,9,gather,True
23,random,2,5.435,36.434,1.106,59.988,4.3342,1.905,9,gather,True
23,random,3,4.003,22.564,0.902,39.915,4.3342,1.905,9,work,True
23,random,4,3.336,21.575,0.998,36.035,4.3342,1.905,9,gather,True
23,random,5,4.94,25.265,0.98,46.678,4.3342,1.905,9,gather,True
23,random,6,7.509,29.152,1.061,61.696,4.3342,1.905,9,work,True
23,random,7,6.89,31.593,1.115,61.456,4.3342,1.905,9,gather,True
23,random,8,4.744,16.297,0.838,36.856,4.3342,1.905,9,gather,True
24,random,0,3.233,11.996,0.854,23.75,3.635,1.6453,9,gather,True
24,random,1,6.573,29.032,1.139,52.925,3.635,1.6453,9,gather,True
24,random,2,4.435,37.45,1.106,53.57,3.635,1.6453,9,work,True
24,random,3,4.999,22.564,0.902,40.737,3.635,1.6453,9,gather,True
24,random,4,2.336,22.842,0.998,31.334,3.635,1.6453,9,work,True
24,random,5,5.756,25.265,0.98,46.19,3.635,1.6453,9,gather,True
24,random,6,8.267,29.152,1.061,59.202,3.635,1.6453,9,gather,True
24,random,7,7.679,31.593,1.115,59.508,3.635,1.6453,9,gather,True
24,random,8,5.312,16.297,0.838,35.605,3.635,1.6453,9,gather,True
25,random,0,2.233,13.422,0.854,20.558,3.1953,1.4776,9,work,True
25,random,1,5.573,30.397,1.139,48.204,3.1953,1.4776,9,work,True
25,random,2,5.569,37.45,1.106,55.246,3.1953,1.4776,9,gather,True
25,random,3,5.471,22.564,0.902,40.046,3.1953,1.4776,9,gather,True
25,random,4,1.336,24.357,0.998,28.627,3.1953,1.4776,9,work,True
25,random,5,4.756,26.472,0.98,41.67,3.1953,1.4776,9,work,True
25,random,6,7.267,30.369,1.061,53.588,3.1953,1.4776,9,work,True
25,random,7,6.679,32.896,1.115,54.238,3.1953,1.4776,9,work,True
25,random,8,4.312,17.698,0.838,31.475,3.1953,1.4776,9,work,True
26,random,0,3.121,13.422,0.854,25.309,3.8091,1.7107,9,gather,True
26,random,1,4.573,31.657,1.139,49.075,3.8091,1.7107,9,work,True
26,random,2,4.569,38.47,1.106,55.876,3.8091,1.7107,9,work,True
26,random,3,4.471,23.74,0.902,40.773,3.8091,1.7107,9,work,True
26,random,4,2.575,24.357,0.998,34.164,3.8091,1.7107,9,gather,True
26,random,5,3.756,27.836,0.98,42.144,3.8091,1.7107,9,work,True
26,random,6,8.105,30.369,1.061,61.242,3.8091,1.7107,9,gather,True
26,random,7,5.679,34.131,1.115,55.764,3.8091,1.7107,9,work,True
26,random,8,4.685,17.698,0.838,35.545,3.8091,1.7107,9,gather,True
27,random,0,4.013,13.422,0.854,29.649,4.0439,1.7981,9,gather,True
27,random,1,3.573,32.871,1.139,47.318,4.0439,1.7981,9,work,True
27,random,2,5.577,38.47,1.106,61.023,4.0439,1.7981,9,gather,True
27,random,3,3.471,24.854,0.902,38.892,4.0439,1.7981,9,work,True
27,random,4,3.749,24.357,0.998,39.519,4.0439,1.7981,9,gather,True
27,random,5,2.756,29.111,0.98,40.258,4.0439,1.7981,9,work,True
27,random,6,7.105,31.535,1.061,60.266,4.0439,1.7981,9,work,True
27,random,7,6.504,34.131,1.115,60.434,4.0439,1.7981,9,gather,True
27,random,8,5.427,17.698,0.838,39.642,4.0439,1.7981,9,gather,True
28,random,0,3.013,14.678,0.854,26.58,3.9504,1.7634,9,work,True
28,random,1,4.79,32.871,1.139,51.792,3.9504,1.7634,9,gather,True
28,random,2,4.577,39.271,1.106,57.351,3.9504,1.7634,9,work,True
28,random,3,4.373,24.854,0.902,42.131,3.9504,1.7634,9,gather,True
28,random,4,2.749,25.541,0.998,36.402,3.9504,1.7634,9,work,True
28,random,5,3.534,29.111,0.98,43.07,3.9504,1.7634,9,gather,True
28,random,6,6.105,32.68,1.061,56.797,3.9504,1.7634,9,work,True
28,random,7,7.313,34.131,1.115,63.021,3.9504,1.7634,9,gather,True
28,random,8,4.427,18.914,0.838,36.401,3.9504,1.7634,9,work,True
29,random,0,3.557,14.678,0.854,29.417,4.1437,1.835,9,gather,True
29,random,1,5.993,32.871,1.139,57.706,4.1437,1.835,9,gather,True
29,random,2,3.577,40.155,1.106,54.977,4.1437,1.835,9,work,True
29,random,3,3.373,26.127,0.902,40.106,4.1437,1.835,9,work,True
29,random,4,3.663,25.541,0.998,40.72,4.1437,1.835,9,gather,True
29,random,5,4.53,29.111,0.98,47.882,4.1437,1.835,9,gather,True
29,random,6,5.105,33.67,1.061,54.823,4.1437,1.835,9,work,True
29,random,7,6.313,35.205,1.115,61.365,4.1437,1.835,9,work,True
29,random,8,4.847,18.914,0.838,38.999,4.1437,1.835,9,gather,True
